
kp,t_ms,sp,rpm,pwm
75.0,119,30,4.9,1885
75.0,179,30,4.9,1885
75.0,239,30,4.9,1885
75.0,299,30,4.9,1885
75.0,359,30,4.9,1885
75.0,419,30,4.9,1885
75.0,479,30,4.9,1885
75.0,539,30,4.9,1885
75.0,599,30,4.9,1885
75.0,659,30,4.9,1885
75.0,719,30,4.9,1885
75.0,779,30,4.9,1885
75.0,839,30,4.9,1885
75.0,899,30,4.9,1885
75.0,959,30,7.3,1702
75.0,1019,30,4.9,1885
75.0,1079,30,4.9,1885
75.0,1139,30,4.9,1885
75.0,1199,30,2.4,2067
75.0,1259,30,7.3,1702
75.0,1319,30,4.9,1885
75.0,1379,30,4.9,1885
75.0,1439,30,4.9,1885
75.0,1499,30,4.9,1885
75.0,1559,30,4.9,1885
75.0,1619,30,4.9,1885
75.0,1679,30,4.9,1885
75.0,1739,30,4.9,1885
75.0,1799,30,4.9,1885
75.0,1859,30,4.9,1885
75.0,1919,30,4.9,1885
75.0,1979,30,4.9,1885
75.0,2039,30,4.9,1885
75.0,2099,30,2.4,2067
75.0,2159,30,4.9,1885
75.0,2219,30,4.9,1885
75.0,2279,30,4.9,1885
75.0,2339,30,4.9,1885
75.0,2399,30,4.9,1885
75.0,2459,30,4.9,1885
75.0,2519,30,4.9,1885
75.0,2579,30,4.9,1885
75.0,2639,30,4.9,1885
75.0,2699,30,4.9,1885
75.0,2759,30,2.4,2067
75.0,2819,30,4.9,1885
75.0,2879,30,4.9,1885
75.0,2939,30,4.9,1885
75.0,2999,30,4.9,1885
75.0,3059,70,46.3,1780
75.0,3119,70,51.1,1415
75.0,3179,70,46.3,1780
75.0,3239,70,46.3,1780
75.0,3299,70,41.4,2145
75.0,3359,70,36.5,2511
75.0,3419,70,36.5,2511
75.0,3479,70,36.5,2511
75.0,3539,70,36.5,2511
75.0,3599,70,34.1,2693
75.0,3659,70,34.1,2693
75.0,3719,70,36.5,2511
75.0,3779,70,36.5,2511
75.0,3839,70,36.5,2511
75.0,3899,70,36.5,2511
75.0,3959,70,36.5,2511
75.0,4019,70,36.5,2511
75.0,4079,70,36.5,2511
75.0,4139,70,36.5,2511
75.0,4199,70,34.1,2693
75.0,4259,70,36.5,2511
75.0,4319,70,36.5,2511
75.0,4379,70,34.1,2693
75.0,4439,70,36.5,2511
75.0,4499,70,36.5,2511
75.0,4559,70,34.1,2693
75.0,4619,70,36.5,2511
75.0,4679,70,36.5,2511
75.0,4739,70,34.1,2693
75.0,4799,70,36.5,2511
75.0,4859,70,36.5,2511
75.0,4919,70,34.1,2693
75.0,4979,70,36.5,2511
75.0,5039,70,36.5,2511
75.0,5099,70,36.5,2511
75.0,5159,70,36.5,2511
75.0,5219,70,36.5,2511
75.0,5279,70,36.5,2511
75.0,5339,70,36.5,2511
75.0,5399,70,36.5,2511
75.0,5459,70,36.5,2511
75.0,5519,70,36.5,2511
75.0,5579,70,36.5,2511
75.0,5639,70,36.5,2511
75.0,5699,70,36.5,2511
75.0,5759,70,34.1,2693
75.0,5819,70,36.5,2511
75.0,5879,70,36.5,2511
75.0,5939,70,36.5,2511
75.0,5999,70,36.5,2511
75.0,6059,30,34.1,-307
75.0,6119,30,26.8,241
75.0,6179,30,21.9,606
75.0,6239,30,17.0,972
75.0,6299,30,17.0,972
75.0,6359,30,14.6,1154
75.0,6419,30,12.2,1337
75.0,6479,30,12.2,1337
75.0,6539,30,9.7,1519
75.0,6599,30,9.7,1519
75.0,6659,30,9.7,1519
75.0,6719,30,9.7,1519
75.0,6779,30,7.3,1702
75.0,6839,30,7.3,1702
75.0,6899,30,7.3,1702
75.0,6959,30,7.3,1702
75.0,7019,30,7.3,1702
75.0,7079,30,4.9,1885
75.0,7139,30,7.3,1702
75.0,7199,30,7.3,1702
75.0,7259,30,4.9,1885
75.0,7319,30,7.3,1702
75.0,7379,30,7.3,1702
75.0,7439,30,7.3,1702
75.0,7499,30,7.3,1702
75.0,7559,30,7.3,1702
75.0,7619,30,7.3,1702
75.0,7679,30,7.3,1702
75.0,7739,30,4.9,1885
75.0,7799,30,7.3,1702
75.0,7859,30,7.3,1702
75.0,7919,30,4.9,1885
75.0,7979,30,4.9,1885
75.0,8039,30,7.3,1702
75.0,8099,30,4.9,1885
75.0,8159,30,4.9,1885
75.0,8219,30,4.9,1885
75.0,8279,30,7.3,1702
75.0,8339,30,7.3,1702
75.0,8399,30,7.3,1702
75.0,8459,30,7.3,1702
75.0,8519,30,7.3,1702
75.0,8579,30,7.3,1702
75.0,8639,30,7.3,1702
75.0,8699,30,4.9,1885
75.0,8759,30,7.3,1702
75.0,8819,30,4.9,1885
75.0,8879,30,4.9,1885
75.0,8939,30,4.9,1885
75.0,8999,30,4.9,1885
75.0,9059,70,46.3,1780
75.0,9119,70,48.7,1597
75.0,9179,70,46.3,1780
75.0,9239,70,41.4,2145
75.0,9299,70,41.4,2145
75.0,9359,70,36.5,2511
75.0,9419,70,36.5,2511
75.0,9479,70,36.5,2511
75.0,9539,70,36.5,2511
75.0,9599,70,36.5,2511
75.0,9659,70,36.5,2511
75.0,9719,70,36.5,2511
75.0,9779,70,36.5,2511
75.0,9839,70,36.5,2511
75.0,9899,70,36.5,2511
75.0,9959,70,36.5,2511
75.0,10019,70,36.5,2511
75.0,10079,70,36.5,2511
75.0,10139,70,36.5,2511
75.0,10199,70,36.5,2511
75.0,10259,70,34.1,2693
75.0,10319,70,36.5,2511
75.0,10379,70,36.5,2511
75.0,10439,70,36.5,2511
75.0,10499,70,36.5,2511
75.0,10559,70,34.1,2693
75.0,10619,70,36.5,2511
75.0,10679,70,36.5,2511
75.0,10739,70,36.5,2511
75.0,10799,70,36.5,2511
75.0,10859,70,36.5,2511
75.0,10919,70,36.5,2511
75.0,10979,70,34.1,2693
75.0,11039,70,36.5,2511
75.0,11099,70,34.1,2693
75.0,11159,70,36.5,2511
75.0,11219,70,34.1,2693
75.0,11279,70,36.5,2511
75.0,11339,70,36.5,2511
75.0,11399,70,36.5,2511
75.0,11459,70,36.5,2511
75.0,11519,70,34.1,2693
75.0,11579,70,36.5,2511
75.0,11639,70,34.1,2693
75.0,11699,70,36.5,2511
75.0,11759,70,36.5,2511
75.0,11819,70,36.5,2511
75.0,11879,70,36.5,2511
75.0,11939,70,36.5,2511
75.0,11999,70,36.5,2511
75.0,12059,30,31.7,-124
75.0,12119,30,24.4,424
75.0,12179,30,21.9,606
75.0,12239,30,19.5,789
75.0,12299,30,17.0,972
75.0,12359,30,12.2,1337
75.0,12419,30,12.2,1337
75.0,12479,30,12.2,1337
75.0,12539,30,9.7,1519
75.0,12599,30,9.7,1519
75.0,12659,30,9.7,1519
75.0,12719,30,9.7,1519
75.0,12779,30,9.7,1519
75.0,12839,30,7.3,1702
75.0,12899,30,7.3,1702
75.0,12959,30,7.3,1702
75.0,13019,30,7.3,1702
75.0,13079,30,7.3,1702
75.0,13139,30,7.3,1702
75.0,13199,30,7.3,1702
75.0,13259,30,7.3,1702
75.0,13319,30,7.3,1702
75.0,13379,30,7.3,1702
75.0,13439,30,7.3,1702
75.0,13499,30,7.3,1702
75.0,13559,30,7.3,1702
75.0,13619,30,4.9,1885
75.0,13679,30,7.3,1702
75.0,13739,30,7.3,1702
75.0,13799,30,4.9,1885
75.0,13859,30,7.3,1702
75.0,13919,30,7.3,1702
75.0,13979,30,7.3,1702
75.0,14039,30,7.3,1702
75.0,14099,30,4.9,1885
75.0,14159,30,4.9,1885
75.0,14219,30,4.9,1885
75.0,14279,30,4.9,1885
75.0,14339,30,4.9,1885
75.0,14399,30,4.9,1885
75.0,14459,30,4.9,1885
75.0,14519,30,7.3,1702
75.0,14579,30,7.3,1702
75.0,14639,30,7.3,1702
75.0,14699,30,4.9,1885
75.0,14759,30,7.3,1702
75.0,14819,30,7.3,1702
75.0,14879,30,4.9,1885
75.0,14939,30,7.3,1702
75.0,14999,30,7.3,1702
100.0,59,30,12.2,1782
100.0,119,30,9.7,2026
100.0,179,30,12.2,1782
100.0,239,30,9.7,2026
100.0,299,30,9.7,2026
100.0,359,30,9.7,2026
100.0,419,30,12.2,1782
100.0,479,30,9.7,2026
100.0,539,30,9.7,2026
100.0,599,30,9.7,2026
100.0,659,30,9.7,2026
100.0,719,30,12.2,1782
100.0,779,30,12.2,1782
100.0,839,30,12.2,1782
100.0,899,30,9.7,2026
100.0,959,30,12.2,1782
100.0,1019,30,12.2,1782
100.0,1079,30,9.7,2026
100.0,1139,30,12.2,1782
100.0,1199,30,9.7,2026
100.0,1259,30,12.2,1782
100.0,1319,30,12.2,1782
100.0,1379,30,9.7,2026
100.0,1439,30,12.2,1782
100.0,1499,30,9.7,2026
100.0,1559,30,12.2,1782
100.0,1619,30,12.2,1782
100.0,1679,30,9.7,2026
100.0,1739,30,12.2,1782
100.0,1799,30,9.7,2026
100.0,1859,30,12.2,1782
100.0,1919,30,9.7,2026
100.0,1979,30,9.7,2026
100.0,2039,30,12.2,1782
100.0,2099,30,12.2,1782
100.0,2159,30,9.7,2026
100.0,2219,30,9.7,2026
100.0,2279,30,9.7,2026
100.0,2339,30,9.7,2026
100.0,2399,30,9.7,2026
100.0,2459,30,9.7,2026
100.0,2519,30,9.7,2026
100.0,2579,30,12.2,1782
100.0,2639,30,12.2,1782
100.0,2699,30,12.2,1782
100.0,2759,30,12.2,1782
100.0,2819,30,12.2,1782
100.0,2879,30,9.7,2026
100.0,2939,30,9.7,2026
100.0,2999,30,9.7,2026
100.0,3059,70,51.1,1886
100.0,3119,70,58.4,1156
100.0,3179,70,53.6,1643
100.0,3239,70,51.1,1886
100.0,3299,70,46.3,2373
100.0,3359,70,43.8,2617
100.0,3419,70,43.8,2617
100.0,3479,70,43.8,2617
100.0,3539,70,41.4,2860
100.0,3599,70,43.8,2617
100.0,3659,70,43.8,2617
100.0,3719,70,43.8,2617
100.0,3779,70,43.8,2617
100.0,3839,70,43.8,2617
100.0,3899,70,41.4,2860
100.0,3959,70,43.8,2617
100.0,4019,70,41.4,2860
100.0,4079,70,41.4,2860
100.0,4139,70,43.8,2617
100.0,4199,70,43.8,2617
100.0,4259,70,43.8,2617
100.0,4319,70,41.4,2860
100.0,4379,70,43.8,2617
100.0,4439,70,43.8,2617
100.0,4499,70,43.8,2617
100.0,4559,70,41.4,2860
100.0,4619,70,43.8,2617
100.0,4679,70,43.8,2617
100.0,4739,70,43.8,2617
100.0,4799,70,43.8,2617
100.0,4859,70,43.8,2617
100.0,4919,70,41.4,2860
100.0,4979,70,46.3,2373
100.0,5039,70,43.8,2617
100.0,5099,70,43.8,2617
100.0,5159,70,43.8,2617
100.0,5219,70,43.8,2617
100.0,5279,70,43.8,2617
100.0,5339,70,43.8,2617
100.0,5399,70,43.8,2617
100.0,5459,70,41.4,2860
100.0,5519,70,43.8,2617
100.0,5579,70,43.8,2617
100.0,5639,70,43.8,2617
100.0,5699,70,43.8,2617
100.0,5759,70,46.3,2373
100.0,5819,70,43.8,2617
100.0,5879,70,43.8,2617
100.0,5939,70,43.8,2617
100.0,5999,70,43.8,2617
100.0,6059,30,39.0,-896
100.0,6119,30,31.7,-166
100.0,6179,30,24.4,565
100.0,6239,30,21.9,808
100.0,6299,30,17.0,1295
100.0,6359,30,17.0,1295
100.0,6419,30,17.0,1295
100.0,6479,30,14.6,1539
100.0,6539,30,14.6,1539
100.0,6599,30,12.2,1782
100.0,6659,30,14.6,1539
100.0,6719,30,12.2,1782
100.0,6779,30,9.7,2026
100.0,6839,30,12.2,1782
100.0,6899,30,12.2,1782
100.0,6959,30,12.2,1782
100.0,7019,30,9.7,2026
100.0,7079,30,12.2,1782
100.0,7139,30,12.2,1782
100.0,7199,30,9.7,2026
100.0,7259,30,12.2,1782
100.0,7319,30,9.7,2026
100.0,7379,30,12.2,1782
100.0,7439,30,9.7,2026
100.0,7499,30,9.7,2026
100.0,7559,30,12.2,1782
100.0,7619,30,9.7,2026
100.0,7679,30,12.2,1782
100.0,7739,30,9.7,2026
100.0,7799,30,9.7,2026
100.0,7859,30,12.2,1782
100.0,7919,30,9.7,2026
100.0,7979,30,12.2,1782
100.0,8039,30,9.7,2026
100.0,8099,30,9.7,2026
100.0,8159,30,12.2,1782
100.0,8219,30,9.7,2026
100.0,8279,30,12.2,1782
100.0,8339,30,9.7,2026
100.0,8399,30,12.2,1782
100.0,8459,30,12.2,1782
100.0,8519,30,12.2,1782
100.0,8579,30,9.7,2026
100.0,8639,30,12.2,1782
100.0,8699,30,9.7,2026
100.0,8759,30,12.2,1782
100.0,8819,30,9.7,2026
100.0,8879,30,12.2,1782
100.0,8939,30,12.2,1782
100.0,8999,30,9.7,2026
100.0,9059,70,53.6,1643
100.0,9119,70,58.4,1156
100.0,9179,70,56.0,1399
100.0,9239,70,51.1,1886
100.0,9299,70,46.3,2373
100.0,9359,70,43.8,2617
100.0,9419,70,43.8,2617
100.0,9479,70,43.8,2617
100.0,9539,70,43.8,2617
100.0,9599,70,41.4,2860
100.0,9659,70,43.8,2617
100.0,9719,70,43.8,2617
100.0,9779,70,46.3,2373
100.0,9839,70,46.3,2373
100.0,9899,70,43.8,2617
100.0,9959,70,43.8,2617
100.0,10019,70,43.8,2617
100.0,10079,70,43.8,2617
100.0,10139,70,43.8,2617
100.0,10199,70,43.8,2617
100.0,10259,70,43.8,2617
100.0,10319,70,41.4,2860
100.0,10379,70,43.8,2617
100.0,10439,70,41.4,2860
100.0,10499,70,43.8,2617
100.0,10559,70,43.8,2617
100.0,10619,70,43.8,2617
100.0,10679,70,43.8,2617
100.0,10739,70,43.8,2617
100.0,10799,70,43.8,2617
100.0,10859,70,43.8,2617
100.0,10919,70,43.8,2617
100.0,10979,70,43.8,2617
100.0,11039,70,41.4,2860
100.0,11099,70,43.8,2617
100.0,11159,70,43.8,2617
100.0,11219,70,46.3,2373
100.0,11279,70,43.8,2617
100.0,11339,70,41.4,2860
100.0,11399,70,43.8,2617
100.0,11459,70,43.8,2617
100.0,11519,70,43.8,2617
100.0,11579,70,43.8,2617
100.0,11639,70,43.8,2617
100.0,11699,70,43.8,2617
100.0,11759,70,43.8,2617
100.0,11819,70,43.8,2617
100.0,11879,70,41.4,2860
100.0,11939,70,43.8,2617
100.0,11999,70,43.8,2617
100.0,12059,30,39.0,-896
100.0,12119,30,31.7,-166
100.0,12179,30,26.8,321
100.0,12239,30,21.9,808
100.0,12299,30,19.5,1052
100.0,12359,30,17.0,1295
100.0,12419,30,14.6,1539
100.0,12479,30,14.6,1539
100.0,12539,30,14.6,1539
100.0,12599,30,14.6,1539
100.0,12659,30,12.2,1782
100.0,12719,30,12.2,1782
100.0,12779,30,12.2,1782
100.0,12839,30,12.2,1782
100.0,12899,30,12.2,1782
100.0,12959,30,12.2,1782
100.0,13019,30,12.2,1782
100.0,13079,30,12.2,1782
100.0,13139,30,9.7,2026
100.0,13199,30,9.7,2026
100.0,13259,30,12.2,1782
100.0,13319,30,12.2,1782
100.0,13379,30,9.7,2026
100.0,13439,30,9.7,2026
100.0,13499,30,12.2,1782
100.0,13559,30,12.2,1782
100.0,13619,30,9.7,2026
100.0,13679,30,9.7,2026
100.0,13739,30,12.2,1782
100.0,13799,30,9.7,2026
100.0,13859,30,9.7,2026
100.0,13919,30,12.2,1782
100.0,13979,30,9.7,2026
100.0,14039,30,12.2,1782
100.0,14099,30,12.2,1782
100.0,14159,30,9.7,2026
100.0,14219,30,12.2,1782
100.0,14279,30,9.7,2026
100.0,14339,30,12.2,1782
100.0,14399,30,9.7,2026
100.0,14459,30,12.2,1782
100.0,14519,30,9.7,2026
100.0,14579,30,12.2,1782
100.0,14639,30,9.7,2026
100.0,14699,30,12.2,1782
100.0,14759,30,12.2,1782
100.0,14819,30,12.2,1782
100.0,14879,30,12.2,1782
100.0,14939,30,9.7,2026
100.0,14999,30,9.7,2026
125.0,59,30,12.2,2228
125.0,119,30,14.6,1924
125.0,179,30,12.2,2228
125.0,239,30,12.2,2228
125.0,299,30,14.6,1924
125.0,359,30,14.6,1924
125.0,419,30,14.6,1924
125.0,479,30,14.6,1924
125.0,539,30,12.2,2228
125.0,599,30,14.6,1924
125.0,659,30,14.6,1924
125.0,719,30,14.6,1924
125.0,779,30,14.6,1924
125.0,839,30,14.6,1924
125.0,899,30,12.2,2228
125.0,959,30,14.6,1924
125.0,1019,30,14.6,1924
125.0,1079,30,14.6,1924
125.0,1139,30,14.6,1924
125.0,1199,30,12.2,2228
125.0,1259,30,14.6,1924
125.0,1319,30,12.2,2228
125.0,1379,30,12.2,2228
125.0,1439,30,12.2,2228
125.0,1499,30,14.6,1924
125.0,1559,30,14.6,1924
125.0,1619,30,14.6,1924
125.0,1679,30,12.2,2228
125.0,1739,30,12.2,2228
125.0,1799,30,14.6,1924
125.0,1859,30,14.6,1924
125.0,1919,30,14.6,1924
125.0,1979,30,12.2,2228
125.0,2039,30,12.2,2228
125.0,2099,30,14.6,1924
125.0,2159,30,14.6,1924
125.0,2219,30,14.6,1924
125.0,2279,30,12.2,2228
125.0,2339,30,14.6,1924
125.0,2399,30,14.6,1924
125.0,2459,30,14.6,1924
125.0,2519,30,12.2,2228
125.0,2579,30,14.6,1924
125.0,2639,30,14.6,1924
125.0,2699,30,14.6,1924
125.0,2759,30,12.2,2228
125.0,2819,30,14.6,1924
125.0,2879,30,14.6,1924
125.0,2939,30,14.6,1924
125.0,2999,30,14.6,1924
125.0,3059,70,53.6,2054
125.0,3119,70,60.9,1140
125.0,3179,70,56.0,1749
125.0,3239,70,53.6,2054
125.0,3299,70,48.7,2662
125.0,3359,70,46.3,2967
125.0,3419,70,48.7,2662
125.0,3479,70,48.7,2662
125.0,3539,70,48.7,2662
125.0,3599,70,48.7,2662
125.0,3659,70,51.1,2358
125.0,3719,70,51.1,2358
125.0,3779,70,48.7,2662
125.0,3839,70,51.1,2358
125.0,3899,70,48.7,2662
125.0,3959,70,48.7,2662
125.0,4019,70,48.7,2662
125.0,4079,70,48.7,2662
125.0,4139,70,48.7,2662
125.0,4199,70,46.3,2967
125.0,4259,70,48.7,2662
125.0,4319,70,46.3,2967
125.0,4379,70,48.7,2662
125.0,4439,70,51.1,2358
125.0,4499,70,46.3,2967
125.0,4559,70,48.7,2662
125.0,4619,70,48.7,2662
125.0,4679,70,46.3,2967
125.0,4739,70,48.7,2662
125.0,4799,70,46.3,2967
125.0,4859,70,51.1,2358
125.0,4919,70,51.1,2358
125.0,4979,70,46.3,2967
125.0,5039,70,48.7,2662
125.0,5099,70,48.7,2662
125.0,5159,70,48.7,2662
125.0,5219,70,51.1,2358
125.0,5279,70,46.3,2967
125.0,5339,70,48.7,2662
125.0,5399,70,51.1,2358
125.0,5459,70,48.7,2662
125.0,5519,70,48.7,2662
125.0,5579,70,46.3,2967
125.0,5639,70,48.7,2662
125.0,5699,70,48.7,2662
125.0,5759,70,48.7,2662
125.0,5819,70,48.7,2662
125.0,5879,70,48.7,2662
125.0,5939,70,48.7,2662
125.0,5999,70,46.3,2967
125.0,6059,30,31.7,-207
125.0,6119,30,24.4,706
125.0,6179,30,21.9,1011
125.0,6239,30,19.5,1315
125.0,6299,30,17.0,1619
125.0,6359,30,17.0,1619
125.0,6419,30,14.6,1924
125.0,6479,30,14.6,1924
125.0,6539,30,14.6,1924
125.0,6599,30,14.6,1924
125.0,6659,30,14.6,1924
125.0,6719,30,14.6,1924
125.0,6779,30,14.6,1924
125.0,6839,30,14.6,1924
125.0,6899,30,12.2,2228
125.0,6959,30,14.6,1924
